B,abT_.CD4.,abT_.CD8.,gd_T,MAIT,Mast,mDC,Monocyte,Neutrophil,NK,pDC,Plasma,Th17,Treg,PD_B,PD_abT_.CD4.,PD_abT_.CD8.,PD_gd_T,PD_MAIT,PD_Mast,PD_mDC,PD_Monocyte,PD_Neutrophil,PD_NK,PD_pDC,PD_Plasma,PD_Th17,PD_Treg,Epi_1,Epi_2,Epi_3,Mel,PD_Epi_1,PD_Epi_2,PD_Epi_3,PD_Mel,Epi_1.1,Epi_1.2,Epi_1.3,LEC,SMC,VEC_1.1,VEC_1.2,VEC_1.3,VEC_1.4,PD_LEC,PD_SMC,PD_VEC_1.1,PD_VEC_1.2,PD_VEC_1.3,PD_VEC_1.4,Fib_1.1,Fib_1.2,Fib_1.3,Fib_1.4,Fib_1.5,PD_Fib_1.1,PD_Fib_1.2,PD_Fib_1.3,PD_Fib_1.4,PD_Fib_1.5,Other,
1_stable_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03228562,0,0,0,0,0,0,0.068339811,0.295035706,0.003491392,0.057106851,0,0.111075566,0,0,0.086399203,0,0,0,0.01344006,0.004645205,0.046113996,0,0,0,0,0,0,0,0,0,0,0,0,0.262806055,0,0,0,0,0,0,0,0,0.019260536,0,0,0,0
1_stable_2,0,0,0,0,0,0,0,0,0,0,0,0.015181392,0,0,0.018891499,0,0.017681552,0,0,0,0,0.007971027,0.066497783,0,0.040353544,0,0.091658699,0,0,0.305910858,0.033491841,0,0,0.033934701,0.022213375,0.06092972,0,0,0,0,0,0,0,0,0,0.001116329,0,0,0.242048117,0,0,0,0,0,0,0,0,0.042119562,0,0,0,0
1_stable_4,0,0,0,0,0,0,0,0,0.022950509,0,0,0,0,0,0.034411445,0,0,0,0,0,0.020852882,0.005179013,0.180698627,0,0.015380635,0,0.179537475,0,0,0.039820717,0.021063424,0,0,0,0.112614988,0.054514494,0,0,0,0,0,0,0,0,0,0,0,0,0.284520619,0,0,0,0,0,0,0,0,0.028455172,0,0,0,0
1_stable_6,0,0,0,0,0,0,0,0,0.013842664,0,0,0,0,0,0,0,0,0,0,0,0.016129045,0.005994751,0.206744894,0,0.024272935,0,0.043598595,0,0,0.200317322,0,0,0,0,0.178183392,0.047502618,0,0,0,0,0,0,0,0,0,0,0,0,0.259409585,0,0,0,0,0,0,0,0,0.004004199,0,0,0,0
1_stable_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033575709,0,0.018727055,0,0,0,0,0.029502223,0,0,0,0,0.109704966,0.16680588,0,0,0,0,0,0,0,0,0,0.032598413,0,0,0.524052341,0,0,0,0,0,0,0,0,0.085033414,0,0,0,0
1_stable_10,0,0,0,0,0,0,0,0,0.007131727,0,0,0,0,0,0,0,0,0,0,0,0,0.011101433,0.226698777,0,0.02241887,0,0.060694729,0,0,0.010477224,0,0,0,0,0.019103442,0.126884023,0,0,0,0,0,0,0,0,0,0.018224884,0,0,0.440282384,0,0,0,0,0,0,0,0,0.056982505,0,0,0,0
1_stable_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339556029,0,0.022230712,0.000511256,0.037108252,0,0,0.094966866,0,0,0,0.01202138,0.064775486,0.059658307,0,0,0,0,0,0,0,0,0,0,0,0,0.337613342,0,0,0,0,0,0,0,0,0.03155837,0,0,0,0
1_progressing_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021778128,0,0,0,0,0,0.054017681,0.028355426,0.350621078,0,0.02558062,0,0.132775825,0,0,0.083774412,0,0,0,0,0.044658441,0.038754399,0,0,0,0,0,0,0,0,0,0,0,0,0.210041658,0,0,0,0,0,0,0,0,0.009642331,0,0,0,0
1_progressing_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036865702,0,0,0,0,0,0.03969847,0.017870905,0.340559362,0.001856757,0.027417876,0,0.138745596,0,0,0.101403509,0,0,0,0,0.066417646,0.028128591,0,0,0,0,0,0,0,0,0,0,0,0,0.199284073,0,0,0,0,0,0,0,0,0.001751514,0,0,0,0
1_progressing_4,0,0,0,0,0,0,0,0,0.015639296,0,0,0,0,0,0.006898003,0,0.016462102,0,0,0,0.029613622,0.064352251,0.27306261,0.008335974,0.08567213,0,0.065312087,0,0,0.081014784,0.008863621,0,0,0,0.132139322,0.042953729,0,0,0,0,0,0,0,0,0,0,0,0,0.158211288,0,0,0,0,0,0,0,0,0.011469183,0,0,0,0
1_progressing_6,0,0,0,0,0,0,0,0,0.029639735,0,0,0,0,0,0.079217965,0,0.014662652,0,0,0,0.03454968,0.065205132,0.22578349,0.053614534,0.034074999,0,0.162531621,0,0,0.009029172,0,0,0,0,0.033773109,0.040982351,0,0,0,0,0,0,0,0,0,0.004132148,0,0,0.201116247,0,0,0,0,0,0,0,0,0.011687166,0,0,0,0
1_progressing_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052681786,0,0.056379904,0,0,0,0.002890259,0.054057011,0.326182054,0.001847768,0.080813735,0.00718307,0.123765181,0,0,0,0,0,0,0,0.03296734,0.023787242,0,0,0,0,0,0,0,0,0,0,0,0,0.22357183,0,0,0,0,0,0,0,0,0.01387282,0,0,0,0
1_progressing_10,0,0,0,0,0,0,0,0,0.029585479,0,0,0,0,0,0.062389302,0,0.004680621,0,0,0,0.001094624,0.075275132,0.430147012,0.000486536,0.025115982,0,0.069068864,0,0,0.004087294,0,0,0,0,0.071955608,0.016493678,0,0,0,0,0,0,0,0,0,0.001305497,0.006797596,0,0.177427114,0,0,0,0,0,0,0,0,0.024089663,0,0,0,0
1_progressing_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103974219,0,0.04522732,0,0,0,0,0.052831725,0.14222264,0.013709759,0.100919814,0.021904408,0.173338862,0,0,0,0,0,0,0.030710437,0.005452742,0.036584198,0,0,0,0,0,0,0,0,0,0.003490311,0,0,0.248534377,0,0,0,0,0,0,0,0,0.021099187,0,0,0,0
2_stable_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186270686,0,0,0,0.053479149,0,0,0.051597111,0,0,0,0,0.094872908,0.120595184,0,0,0,0,0,0,0,0,0,0.000660963,0,0,0.414796786,0.027186052,0,0,0,0,0,0,0,0.050541161,0,0,0,0
2_stable_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283190195,0,0,0,0.050605774,0,0,0.059634161,0,0,0,0.008063908,0.000266961,0.104239358,0,0,0,0,0,0,0,0,0,0.012548696,0,0,0.435689326,0,0,0,0,0,0,0,0,0.045761621,0,0,0,0
2_stable_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263686433,0,0,0,0,0,0,0.005257675,0,0,0,0,0.034242907,0,0,0,0,0,0,0,0,0,0,0.06942087,0,0,0.371802187,0.13680346,0,0,0,0,0,0,0,0.118786468,0,0,0,0
2_stable_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274921865,0,0,0,0.115067934,0,0,0.005593154,0,0,0,0,0.017057626,0.120891863,0,0,0,0,0,0,0,0,0,0.013004415,0,0,0.399661687,0,0,0,0,0,0,0,0,0.053801456,0,0,0,0
2_stable_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016342372,0.101091498,0,0.024420003,0,0.063126948,0,0,0.102967706,0,0,0,0.005314469,0.090363357,0.098919149,0,0,0,0,0,0,0,0,0,0.011374628,0,0,0.42554601,0.003718529,0,0,0,0,0,0,0,0.056815331,0,0,0,0
2_stable_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14189243,0,0,0,0,0,0,0.113354589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043440753,0,0,0.421846111,0,0.052461753,0,0,0,0,0,0,0.227004365,0,0,0,0
2_stable_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054389978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076292289,0,0,0.636787599,0,0,0,0,0,0,0,0,0.232530135,0,0,0,0
2_progressing_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498016963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053086469,0,0,0.159965428,0,0.157749119,0,0,0,0,0,0,0.131182023,0,0,0,0
2_progressing_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292572024,0,0,0,0,0,0,0.004660261,0,0,0,0,0.049598763,0.081790207,0,0,0,0,0,0,0,0,0,0.009618108,0,0,0.506872502,0,0,0,0,0,0,0,0,0.054888135,0,0,0,0
2_progressing_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177530836,0,0,0,0,0,0,0.016904922,0,0,0,0,0.040853877,0,0,0,0,0,0,0,0,0,0,0.051983216,0,0,0.58779855,0,0.01363902,0,0,0,0,0,0,0.111289579,0,0,0,0
2_progressing_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389258529,0,0,0,0,0,0,0.019462386,0,0,0,0,0.123299983,0,0,0,0,0,0,0,0,0,0,0.03215517,0,0,0.243660637,0,0.117506624,0,0,0,0,0,0,0.074656671,0,0,0,0
2_progressing_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216530507,0,0,0,0,0,0,0.090806101,0,0,0,0,0.038606379,0,0,0,0,0,0,0,0,0,0,0.054897785,0,0,0.321628142,0,0.082070117,0,0,0,0,0,0,0.195460968,0,0,0,0
2_progressing_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249903565,0,0,0,0,0,0,0.006750862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075171744,0,0,0.370141217,0,0.10918059,0,0,0,0,0,0,0.188852023,0,0,0,0
2_progressing_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300615872,0,0,0.000826347,0,0,0,0.001180909,0,0,0,0,0.00263949,0.009264766,0,0,0,0,0,0,0,0,0,0.047896816,0,0,0.442689948,0,0.036227509,0,0,0,0,0,0,0.158658344,0,0,0,0
3_stable_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016304029,0,0.040231234,0,0,0,0,0,0,0.016878616,0.29755251,0,0,0,0.266271662,0.055913461,0,0,0,0,0,0,0,0,0,0.002870639,0,0,0.260293356,0,0,0,0,0,0,0,0,0.043684494,0,0,0,0
3_stable_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068920454,0,0,0,0,0,0,0.418413041,0,0,0,0,0.060945923,0,0,0,0,0,0,0,0,0,0,0.036610245,0,0,0.209303892,0,0.1101006,0,0,0,0,0,0,0.095705846,0,0,0,0
3_stable_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027267738,0,0,0,0,0,0,0.176204634,0,0,0,0.005978343,0.443837972,0.037391894,0,0,0,0,0,0,0,0,0,0,0,0,0.285680975,0,0,0,0,0,0,0,0,0.023638444,0,0,0,0
3_stable_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031396662,0,0,0,0,0,0,0.074735251,0.404787591,0,0,0,0.068975052,0.048869947,0,0,0,0,0,0,0,0,0,0.00056018,0,0,0.366656246,0,0,0,0,0,0,0,0,0.004019071,0,0,0,0
3_stable_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050748101,0,0,0,0,0,0,0.565301448,0,0,0,0,0.235742667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148207785,0,0,0,0,0,0,0,0,0,0,0,0,0
3_stable_10,0,0,0,0,0,0,0,0,0.007723483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118164613,0,0,0,0,0,0,0.185154239,0,0,0,0.32042764,0.115415585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206220634,0,0,0,0,0,0,0,0,0.046893805,0,0,0,0
3_stable_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300300854,0,0,0,0,0,0,0.146899574,0,0,0,0,0.176734862,0.026872082,0,0,0,0,0,0,0,0,0,0.00294216,0,0,0.313840951,0,0,0,0,0,0,0,0,0.032409518,0,0,0,0
3_progressing_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006377369,0.062444502,0,0.010511547,0,0,0,0,0.659209994,0.007867683,0,0,0.087161119,0.085911389,0,0,0,0,0,0,0,0,0,0,0.000727855,0,0,0.079709466,0,0,0,0,0,0,0,0,7.91E-05,0,0,0,0
3_progressing_2,0,0,0,0,0,0,0,0,0.001893169,0,0,0,0,0,0,0,0,0,0,0,0,0.008351705,0.006262505,0,0.008542307,0,0,0,0,0.528549388,0,0,0,0.236265588,0.019452972,0.02883825,0,0,0.008474612,0,0,0,0,0,0,0,0,0,0.117359865,0,0,0,0,0,0,0,0,0.036009639,0,0,0,0
3_progressing_4,0,0,0,0,0,0,0,0,0.005277835,0,0,0,0,0,0.061109081,0,0,0,0,0,0.012864315,0.01599579,0.067720999,0,0.01499441,0,0.06583415,0,0,0.228063331,0,0,0,0.071860119,0.082796005,0.034114144,0,0,0.129520295,0,0,0,0,0,0,0.000691631,0,0,0.174024261,0,0,0,0,0,0,0,0,0.035133635,0,0,0,0
3_progressing_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001313414,0,0.031837004,0,0,0,0,0,0,0,0.002201158,0.054541008,0.265430126,0.066130117,0.173201623,0,0.224210503,0,0,0,0,0,0,0.002128468,0,0,0.156791587,0,0,0,0,0,0,0,0,0.022214992,0,0,0,0
3_progressing_8,0,0,0,0,0,0,0,0,0.000341152,0,0,0,0,0,0.113801136,0.01765024,0,0,0.001767412,0,0,0.022365095,0.043278194,0,0,0,0,0,0,0.285510588,0,0,0,0.176575791,0.014575216,0.001558481,0,0,0.157287131,0,0,0,0,0,0,0,0,0,0.160826698,0,0,0,0,0,0,0,0,0,0,0,0.004462867,0
3_progressing_10,0,0,0,0.007504953,0,0,0,0,0.005580319,0,0,0,0,0,0.05315689,0.029681716,0,0.00498899,0.003652583,0,0.054916315,0.012467298,0.035512378,0,0.026207522,0,0.060953469,0,0,0.101936606,0,0,0,0.087952821,0.051835841,0.040785119,0.056855855,0,0.152897637,0,0,0,0,0,0,0.0018212,0,0,0.177201282,0,0,0,0,0,0,0,0,0.034091207,0,0,0,0
3_progressing_12,0,0,0,0,0,0,0,0,0.012121002,0,0,0,0,0,0.075470789,0,0.00447773,0,0.002262598,0,0.029674554,0.007508023,0.030702041,0,0.039253204,0,0.085851939,0,0,0.302604594,0,0,0,0.155844284,0.024044422,0.028682081,0,0,0.041575235,0,0,0,0,0,0,0,0,0,0.146646698,0,0,0,0,0,0,0,0,0.013280805,0,0,0,0
4_stable_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308220427,0,0,0,0,0,0,0.004220577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080983474,0,0,0.303848057,0,0.138583845,0,0,0,0,0,0,0.16414362,0,0,0,0
4_stable_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445933913,0,0,0,0,0,0,0.020405784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065608078,0,0,0.235256243,0,0.017112166,0,0,0,0,0,0,0.215683817,0,0,0,0
4_stable_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007870464,0,0.426437093,0,0.013267386,0,0.063612584,0,0,0,0,0,0,0,0.010368997,0.069177758,0,0,0,0,0,0,0,0,0,0,0,0,0.379820969,0,0,0,0,0,0,0,0,0.02944475,0,0,0,0
4_stable_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475547181,0,0,0,0,0,0,0.003888491,0,0,0,0,0.076349892,0,0,0,0,0,0,0,0,0,0,0.024385658,0,0,0.181886695,0,0.050379414,0,0,0,0,0,0,0.18756267,0,0,0,0
4_stable_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317044156,0,0,0,0,0,0,0,0,0,0,0,0.003869808,0,0,0,0,0,0,0,0,0,0,0.031281733,0,0,0.525072692,0,0.036124377,0,0,0,0,0,0,0.086607232,0,0,0,0
4_stable_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40732753,0,0,0,0,0,0,0.108001131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050748262,0,0,0.161329787,0,0.077041483,0,0,0,0,0,0,0.195551807,0,0,0,0
4_stable_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549049969,0,0,0,0,0,0,0.00563455,0,0,0,0,0.011555086,0,0,0,0,0,0,0,0,0,0,0.033745373,0,0,0.186990888,0,0.054995938,0,0,0,0,0,0,0.158028196,0,0,0,0
4_progressing_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160955225,0,0,0,0,0,0,0.081544014,0,0,0,0,0.285346694,0.066634311,0,0,0,0,0,0,0,0,0,0.017409246,0,0,0.365725522,0,0,0,0,0,0,0,0,0.022384988,0,0,0,0
4_progressing_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501513916,0,0,0,0,0,0,0.101657145,0,0,0,0,0.079222935,0,0,0,0,0,0,0,0,0,0,0.014125068,0,0,0.100481225,0,0.137700063,0,0,0,0,0,0,0.065299648,0,0,0,0
