Element,GPT shift 1,GPT shift 2,Biological Group,Group ID based on Biological Group,Notes (if any)
EGF,1,1,Growth Factors,GF1,Involved in tissue repair.
FIt3L,,1,Hematopoietic Factors,HF1,Promotes dendritic cell survival.
GMCSF,1,1,Hematopoietic Factors,HF1,Supports monocyte differentiation.
IL10,1,1,Anti-inflammatory Cytokines,AIC1,Promotes resolution of inflammation.
IL6,1,-1,Pro-inflammatory Cytokines,PIC1,"Elevated in periodontitis, decreases in recovery."
IL8,1,-1,Pro-inflammatory Cytokines,PIC1,Decreases with treatment.
MCP1,1,,,,
MMP2,,-1,Matrix Metalloproteinases,MMP1,Decreases with healing.
Periostin,,1,Extracellular Matrix Proteins,EMP1,Associated with tissue remodeling.
RANKL,-1,-1,Bone Remodeling Factors,BRF1,Decreases with resolution of inflammation.
TNFa,-1,-1,Pro-inflammatory Cytokines,PIC1,"Elevated in disease, decreases with recovery."
VEGF,1,1,Angiogenic Factors,AF1,Involved in tissue regeneration.
