"SampleID","PD_Monocyte"
"Sample1",0
"Sample2",0
"Sample4",0
"Sample5",0
"Sample7",0
"Sample8",0
"Sample118",0
"Sample3",0
"Sample6",0
"Sample9",0
"Sample10",0
"Sample11",0
"Sample12",0
"Sample13",0
"Sample14",0
"Sample15",0
"Sample16",0
"Sample17",0
"Sample18",0
"Sample19",0
"Sample20",0
"Sample21",0
"Sample22",0
"Sample23",0
"Sample24",0
"Sample25",0
"Sample26",0
"Sample27",0
"Sample28",0
"Sample29",0
"Sample30",0
"Sample31",0
"Sample32",0
"Sample33",0
"Sample34",0
"Sample35",0
"Sample36",0
"Sample37",0
"Sample38",0
"Sample39",0
"Sample40",0
"Sample41",0
"Sample42",0
"Sample43",0
"Sample44",0
"Sample45",0
"Sample46",0
"Sample47",0
"Sample48",0
"Sample49",0
"Sample50",0
"Sample51",0
"Sample52",0
"Sample53",0
"Sample54",0
"Sample55",0
"Sample56",0
"Sample57",0
"Sample58",0
"Sample59",0
"Sample60",0
"Sample61",0
"Sample62",0
"Sample63",0
"Sample64",0
"Sample65",0
"Sample66",0
"Sample67",0
"Sample68",0
"Sample69",0
"Sample70",0
"Sample71",0
"Sample72",0
"Sample73",0
"Sample74",0
"Sample75",0
"Sample76",0
"Sample77",0
"Sample78",0
"Sample79",0
"Sample80",0
"Sample81",0
"Sample82",0
"Sample83",0
"Sample84",0
"Sample85",0
"Sample86",0
"Sample87",0
"Sample88",0
"Sample89",0
"Sample90",0
"Sample91",0
"Sample92",0
"Sample93",0
"Sample94",0
"Sample95",0
"Sample96",0
"Sample97",0
"Sample98",0
"Sample99",0
"Sample100",0
"Sample101",0
"Sample102",0
"Sample103",0
"Sample104",0
"Sample105",0
"Sample106",0
"Sample107",0
"Sample108",0
"Sample109",0
"Sample110",0
"Sample111",0
"Sample112",0
"Sample113",0
"Sample114",0
"Sample115",0
"Sample116",0
"Sample117",0
"Sample119",0
"Sample120",0
"Sample121",0
"Sample122",0
"Sample123",0
"Sample124",0
"Sample125",0
"Sample126",0
"Sample127",0
"Sample128",0
"Sample129",0
"Sample130",0
"Sample131",0
"Sample132",0
"Sample133",0
"Sample134",0
"Sample135",0
"Sample136",0
"Sample137",0
"Sample138",0
"Sample139",0
"Sample140",0
"Sample141",0
"Sample142",0
"Sample143",0
"Sample144",0
"Sample145",0
"Sample146",0
"Sample147",0
"Sample148",0
"Sample149",0
"Sample150",0
"Sample151",0
"Sample152",0
"Sample153",0
"Sample154",0
